{'Time': 0.018571428571428572, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 13, 'Block_id': 0, 'Create_time': 0.018571428571428572, 'Deadline': 0.2, 'Offset': 12, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.01892857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.001785714285714285, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 12, 'Block_id': 0, 'Create_time': 0.017142857142857144, 'Deadline': 0.2, 'Offset': 11, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.01992857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002785714285714285, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 12, 'Block_id': 0, 'Create_time': 0.017142857142857144, 'Deadline': 0.2, 'Offset': 11, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 14, 'Block_id': 0, 'Create_time': 0.02, 'Deadline': 0.2, 'Offset': 13, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.020428571428571428, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0018571428571428567, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 13, 'Block_id': 0, 'Create_time': 0.018571428571428572, 'Deadline': 0.2, 'Offset': 12, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02142857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0028571428571428567, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 13, 'Block_id': 0, 'Create_time': 0.018571428571428572, 'Deadline': 0.2, 'Offset': 12, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02142857142857143, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 15, 'Block_id': 0, 'Create_time': 0.02142857142857143, 'Deadline': 0.2, 'Offset': 14, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02192857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0019285714285714284, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 14, 'Block_id': 0, 'Create_time': 0.02, 'Deadline': 0.2, 'Offset': 13, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.022857142857142857, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 16, 'Block_id': 0, 'Create_time': 0.022857142857142857, 'Deadline': 0.2, 'Offset': 15, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02292857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0029285714285714284, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 14, 'Block_id': 0, 'Create_time': 0.02, 'Deadline': 0.2, 'Offset': 13, 'Payload': 1480, 'Packet_size': 1500}
