{'Time': 0.04710025933653343, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 3, 'Block_id': 3, 'Create_time': 0.04710025933653343}
{'Time': 0.04852753992248899, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 4, 'Block_id': 3, 'Create_time': 0.04852753992248899}
{'Time': 0.04995482050844455, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 5, 'Block_id': 3, 'Create_time': 0.04995482050844455}
{'Time': 0.051382101094400105, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 6, 'Block_id': 3, 'Create_time': 0.051382101094400105}
{'Time': 0.05280938168035566, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 7, 'Block_id': 3, 'Create_time': 0.05280938168035566}
{'Time': 0.05423666226631122, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 8, 'Block_id': 3, 'Create_time': 0.05423666226631122}
{'Time': 0.05566394285226678, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 9, 'Block_id': 3, 'Create_time': 0.05566394285226678}
{'Time': 0.05709122343822234, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 0, 'Block_id': 4, 'Create_time': 0.05709122343822234}
{'Time': 0.058518504024177895, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 1, 'Block_id': 4, 'Create_time': 0.058518504024177895}
{'Time': 0.05994578461013345, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 2, 'Block_id': 4, 'Create_time': 0.05994578461013345}
{'Time': 0.06137306519608901, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 3, 'Block_id': 4, 'Create_time': 0.06137306519608901}
{'Time': 0.06280034578204458, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 4, 'Block_id': 4, 'Create_time': 0.06280034578204458}
{'Time': 0.06422762636800014, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 5, 'Block_id': 4, 'Create_time': 0.06422762636800014}
{'Time': 0.0656549069539557, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 6, 'Block_id': 4, 'Create_time': 0.0656549069539557}
{'Time': 0.06708218753991127, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 7, 'Block_id': 4, 'Create_time': 0.06708218753991127}
